filename,width,height,class,xmin,ymin,xmax,ymax,centerx,centery,b-width,b-height
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,500,357,001.Black_footed_Albatross,141,87,397,298,269,192,256,211
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,350,350,001.Black_footed_Albatross,40,38,294,247,167,142,254,209
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,500,334,001.Black_footed_Albatross,45,58,299,307,172,182,254,249
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,500,356,001.Black_footed_Albatross,135,83,439,264,287,173,304,181
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,333,500,001.Black_footed_Albatross,23,195,278,317,150,256,255,122
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,320,240,001.Black_footed_Albatross,11,77,292,216,151,146,281,139
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,216,136,001.Black_footed_Albatross,5,4,215,134,110,69,210,130
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,500,390,001.Black_footed_Albatross,154,93,342,258,248,175,188,165
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,240,187,001.Black_footed_Albatross,50,25,206,164,128,94,156,139
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,500,357,001.Black_footed_Albatross,172,106,437,320,304,213,265,214
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,500,375,001.Black_footed_Albatross,37,61,446,241,241,151,409,180
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,500,414,001.Black_footed_Albatross,65,62,374,407,219,234,309,345
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,500,335,001.Black_footed_Albatross,1,2,500,288,250,145,499,286
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,500,332,001.Black_footed_Albatross,97,3,332,257,214,130,235,254
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,376,322,001.Black_footed_Albatross,90,29,314,240,202,134,224,211
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,500,360,001.Black_footed_Albatross,38,15,352,316,195,165,314,301
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,500,392,001.Black_footed_Albatross,20,91,436,294,228,192,416,203
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,400,333,001.Black_footed_Albatross,82,52,342,312,212,182,260,260
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,500,441,001.Black_footed_Albatross,66,115,426,329,246,222,360,214
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,500,338,001.Black_footed_Albatross,19,18,483,312,251,165,464,294
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,500,337,001.Black_footed_Albatross,72,40,358,265,215,152,286,225
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,500,500,001.Black_footed_Albatross,216,119,437,273,326,196,221,154
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,455,450,001.Black_footed_Albatross,40,4,408,449,224,226,368,445
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,320,223,001.Black_footed_Albatross,69,57,268,198,168,127,199,141
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,389,500,001.Black_footed_Albatross,130,29,332,422,231,225,202,393
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,450,500,001.Black_footed_Albatross,53,46,355,363,204,204,302,317
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,500,383,001.Black_footed_Albatross,25,17,393,316,209,166,368,299
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,500,332,001.Black_footed_Albatross,137,64,424,220,280,142,287,156
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,448,272,001.Black_footed_Albatross,111,42,244,261,177,151,133,219
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,500,375,001.Black_footed_Albatross,58,51,446,262,252,156,388,211
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,260,359,001.Black_footed_Albatross,13,28,225,311,119,169,212,283
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,500,275,001.Black_footed_Albatross,5,127,501,258,253,192,496,131
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,346,500,001.Black_footed_Albatross,113,260,240,390,176,325,127,130
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,500,375,001.Black_footed_Albatross,49,69,302,280,175,174,253,211
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0045_796129.jpg,500,332,001.Black_footed_Albatross,24,144,457,274,240,209,433,130
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0039_796132.jpg,500,500,001.Black_footed_Albatross,151,152,461,352,306,252,310,200
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0088_796133.jpg,335,400,001.Black_footed_Albatross,157,45,260,369,208,207,103,324
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,500,385,001.Black_footed_Albatross,60,29,492,384,276,206,432,355
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0003_796136.jpg,500,375,001.Black_footed_Albatross,131,36,343,340,237,188,212,304
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0007_796138.jpg,500,301,001.Black_footed_Albatross,152,86,272,227,212,156,120,141
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0069_796139.jpg,200,200,001.Black_footed_Albatross,2,45,191,165,96,105,189,120
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0035_796140.jpg,500,333,001.Black_footed_Albatross,214,87,418,266,316,176,204,179
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0063_796141.jpg,288,192,001.Black_footed_Albatross,46,24,243,141,144,82,197,117
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0058_796074.jpg,500,334,001.Black_footed_Albatross,72,29,296,291,184,160,224,262
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,500,320,001.Black_footed_Albatross,96,77,356,247,226,162,260,170
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0002_1027.jpg,500,375,002.Laysan_Albatross,144,40,477,205,310,122,333,165
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0003_1033.jpg,500,375,002.Laysan_Albatross,202,28,366,368,284,198,164,340
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0082_524.jpg,500,375,002.Laysan_Albatross,72,68,455,293,263,180,383,225
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0044_784.jpg,500,271,002.Laysan_Albatross,60,128,498,234,279,181,438,106
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0070_788.jpg,332,500,002.Laysan_Albatross,32,35,291,396,161,215,259,361
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0050_870.jpg,500,333,002.Laysan_Albatross,41,79,428,281,234,180,387,202
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0071_792.jpg,500,333,002.Laysan_Albatross,156,35,282,294,219,164,126,259
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0053_543.jpg,500,333,002.Laysan_Albatross,108,123,338,272,223,197,230,149
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0081_800.jpg,500,372,002.Laysan_Albatross,82,75,390,335,236,205,308,260
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0001_545.jpg,339,500,002.Laysan_Albatross,89,172,197,318,143,245,108,146
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0023_1059.jpg,500,375,002.Laysan_Albatross,83,124,294,374,188,249,211,250
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0065_809.jpg,500,375,002.Laysan_Albatross,75,80,450,357,262,218,375,277
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0061_563.jpg,500,333,002.Laysan_Albatross,41,31,425,291,233,161,384,260
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0085_564.jpg,500,367,002.Laysan_Albatross,45,31,313,337,179,184,268,306
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0005_565.jpg,500,333,002.Laysan_Albatross,38,91,354,284,196,187,316,193
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0060_777.jpg,500,314,002.Laysan_Albatross,137,72,339,283,238,177,202,211
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0055_570.jpg,500,332,002.Laysan_Albatross,15,25,424,299,219,162,409,274
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0025_571.jpg,500,281,002.Laysan_Albatross,193,46,395,241,294,143,202,195
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0080_821.jpg,500,429,002.Laysan_Albatross,99,115,415,399,257,257,316,284
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0092_834.jpg,500,333,002.Laysan_Albatross,71,50,383,286,227,168,312,236
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0013_910.jpg,500,333,002.Laysan_Albatross,67,25,425,273,246,149,358,248
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0091_602.jpg,500,385,002.Laysan_Albatross,109,13,385,308,247,160,276,295
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0102_611.jpg,500,500,002.Laysan_Albatross,35,114,453,330,244,222,418,216
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0099_869.jpg,500,500,002.Laysan_Albatross,41,89,419,393,230,241,378,304
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0017_614.jpg,375,500,002.Laysan_Albatross,8,75,358,499,183,287,350,424
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0047_619.jpg,500,478,002.Laysan_Albatross,157,36,352,401,254,218,195,365
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0035_876.jpg,500,347,002.Laysan_Albatross,30,7,467,328,248,167,437,321
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0098_621.jpg,500,375,002.Laysan_Albatross,58,91,390,347,224,219,332,256
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg,500,334,002.Laysan_Albatross,84,25,369,332,226,178,285,307
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0034_628.jpg,500,333,002.Laysan_Albatross,193,53,437,307,315,180,244,254
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0104_630.jpg,500,306,002.Laysan_Albatross,119,42,237,165,178,103,118,123
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0058_637.jpg,500,333,002.Laysan_Albatross,18,60,477,299,247,179,459,239
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0028_643.jpg,500,375,002.Laysan_Albatross,135,120,336,258,235,189,201,138
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0033_658.jpg,500,334,002.Laysan_Albatross,45,10,367,291,206,150,322,281
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0075_668.jpg,500,340,002.Laysan_Albatross,120,60,221,278,170,169,101,218
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0076_671.jpg,500,375,002.Laysan_Albatross,151,23,425,374,288,198,274,351
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0096_673.jpg,500,375,002.Laysan_Albatross,46,71,449,351,247,211,403,280
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0064_674.jpg,500,333,002.Laysan_Albatross,118,19,340,313,229,166,222,294
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0039_924.jpg,500,312,002.Laysan_Albatross,24,53,385,234,204,143,361,181
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0049_918.jpg,500,340,002.Laysan_Albatross,13,58,486,301,249,179,473,243
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0012_696.jpg,500,307,002.Laysan_Albatross,125,72,431,221,278,146,306,149
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0056_500.jpg,500,341,002.Laysan_Albatross,92,47,423,307,257,177,331,260
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0037_699.jpg,500,333,002.Laysan_Albatross,152,41,339,312,245,176,187,271
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0006_702.jpg,333,500,002.Laysan_Albatross,83,90,328,484,205,287,245,394
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0073_927.jpg,500,333,002.Laysan_Albatross,127,55,379,237,253,146,252,182
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0042_801.jpg,500,333,002.Laysan_Albatross,116,18,399,332,257,175,283,314
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0004_930.jpg,500,375,002.Laysan_Albatross,64,94,351,317,207,205,287,223
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0093_725.jpg,500,334,002.Laysan_Albatross,138,88,258,244,198,166,120,156
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0068_726.jpg,333,500,002.Laysan_Albatross,43,62,329,494,186,278,286,432
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0040_472.jpg,500,397,002.Laysan_Albatross,148,115,297,308,222,211,149,193
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,500,337,002.Laysan_Albatross,136,66,307,309,221,187,171,243
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0021_737.jpg,500,385,002.Laysan_Albatross,140,100,377,299,258,199,237,199
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0029_482.jpg,500,333,002.Laysan_Albatross,31,52,408,224,219,138,377,172
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0059_488.jpg,500,334,002.Laysan_Albatross,26,53,357,264,191,158,331,211
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0018_492.jpg,500,335,002.Laysan_Albatross,183,80,420,280,301,180,237,200
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,500,333,002.Laysan_Albatross,128,109,349,307,238,208,221,198
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0094_1013.jpg,500,331,002.Laysan_Albatross,165,48,331,316,248,182,166,268
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0103_504.jpg,500,375,002.Laysan_Albatross,145,42,327,330,236,186,182,288
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0079_506.jpg,500,375,002.Laysan_Albatross,92,69,458,338,275,203,366,269
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\002.Laysan_Albatross/Laysan_Albatross_0051_1020.jpg,500,375,002.Laysan_Albatross,77,93,240,271,158,182,163,178
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0038_1065.jpg,500,320,003.Sooty_Albatross,196,96,418,243,307,169,222,147
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0031_1066.jpg,500,357,003.Sooty_Albatross,102,128,498,276,300,202,396,148
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0001_1071.jpg,330,500,003.Sooty_Albatross,105,133,273,416,189,274,168,283
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0016_1075.jpg,500,334,003.Sooty_Albatross,169,41,349,290,259,165,180,249
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0043_1076.jpg,375,500,003.Sooty_Albatross,1,134,317,479,159,306,316,345
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0003_1078.jpg,500,357,003.Sooty_Albatross,36,63,484,315,260,189,448,252
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0077_1080.jpg,500,335,003.Sooty_Albatross,92,117,419,238,255,177,327,121
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0063_1101.jpg,500,356,003.Sooty_Albatross,55,49,231,199,143,124,176,150
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0044_1105.jpg,500,332,003.Sooty_Albatross,206,107,346,222,276,164,140,115
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0071_1116.jpg,500,392,003.Sooty_Albatross,98,24,338,337,218,180,240,313
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0070_796346.jpg,480,360,003.Sooty_Albatross,114,30,319,311,216,170,205,281
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0030_1122.jpg,500,333,003.Sooty_Albatross,75,2,472,332,273,167,397,330
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0054_796347.jpg,500,379,003.Sooty_Albatross,86,57,216,327,151,192,130,270
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0033_1128.jpg,500,332,003.Sooty_Albatross,49,75,415,232,232,153,366,157
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0048_1130.jpg,500,333,003.Sooty_Albatross,33,118,268,291,150,204,235,173
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0032_1149.jpg,500,375,003.Sooty_Albatross,121,74,270,208,195,141,149,134
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0034_1154.jpg,400,500,003.Sooty_Albatross,134,96,257,385,195,240,123,289
D:/Google-Drive/Technology/airboat/ML/dev/CUB_200_2011/images\003.Sooty_Albatross/Sooty_Albatross_0055_1160.jpg,500,333,003.Sooty_Albatross,165,34,453,330,309,182,288,296
